Date,S&P,Nasdaq
2018-07-26,2837.439941,7852.180176
2018-07-27,2818.820068,7737.419922
2018-07-30,2802.600098,7630
2018-07-31,2816.290039,7671.790039
2018-08-01,2813.360107,7707.290039
2018-08-02,2827.219971,7802.689941
2018-08-03,2840.350098,7812.009766
2018-08-06,2850.399902,7859.680176
2018-08-07,2858.449951,7883.660156
2018-08-08,2857.699951,7888.330078
2018-08-09,2853.580078,7891.779785
2018-08-10,2833.280029,7839.109863
2018-08-13,2821.929932,7819.709961
2018-08-14,2839.959961,7870.890137
2018-08-15,2818.370117,7774.120117
2018-08-16,2840.689941,7806.52002
2018-08-17,2850.129883,7816.330078
2018-08-20,2857.050049,7821.009766
2018-08-21,2862.959961,7859.169922
2018-08-22,2861.820068,7889.100098
2018-08-23,2856.97998,7878.459961
2018-08-24,2874.689941,7945.97998
2018-08-27,2896.73999,8017.899902
2018-08-28,2897.52002,8030.040039
2018-08-29,2914.040039,8109.689941
2018-08-30,2901.129883,8088.359863
2018-08-31,2901.52002,8109.540039
2018-09-04,2896.719971,8091.25
2018-09-05,2888.600098,7995.169922
2018-09-06,2878.050049,7922.72998
2018-09-07,2871.679932,7902.540039
2018-09-10,2877.129883,7924.160156
2018-09-11,2887.889893,7972.470215
2018-09-12,2888.919922,7954.22998
2018-09-13,2904.179932,8013.709961
2018-09-14,2904.97998,8010.040039
2018-09-17,2888.800049,7895.790039
2018-09-18,2904.310059,7956.109863
2018-09-19,2907.949951,7950.040039
2018-09-20,2930.75,8028.22998
2018-09-21,2929.669922,7986.959961
2018-09-24,2919.370117,7993.25
2018-09-25,2915.560059,8007.470215
2018-09-26,2905.969971,7990.370117
2018-09-27,2914,8041.970215
2018-09-28,2913.97998,8046.350098
2018-10-01,2924.590088,8037.299805
2018-10-02,2923.429932,7999.549805
2018-10-03,2925.51001,8025.089844
2018-10-04,2901.610107,7879.509766
2018-10-05,2885.570068,7788.450195
2018-10-08,2884.429932,7735.950195
2018-10-09,2880.340088,7738.02002
2018-10-10,2785.679932,7422.049805
2018-10-11,2728.370117,7329.060059
2018-10-12,2767.129883,7496.890137
2018-10-15,2750.790039,7430.740234
2018-10-16,2809.919922,7645.490234
2018-10-17,2809.209961,7642.700195
2018-10-18,2768.780029,7485.140137
2018-10-19,2767.780029,7449.029785
2018-10-22,2755.879883,7468.629883
2018-10-23,2740.689941,7437.540039
2018-10-24,2656.100098,7108.399902
2018-10-25,2705.570068,7318.339844
2018-10-26,2658.689941,7167.209961
2018-10-29,2641.25,7050.290039
2018-10-30,2682.629883,7161.649902
2018-10-31,2711.73999,7305.899902
2018-11-01,2740.370117,7434.060059
2018-11-02,2723.060059,7356.990234
2018-11-05,2738.310059,7328.850098
2018-11-06,2755.449951,7375.959961
2018-11-07,2813.889893,7570.75
2018-11-08,2806.830078,7530.879883
2018-11-09,2781.01001,7406.899902
2018-11-12,2726.219971,7200.870117
2018-11-13,2722.179932,7200.870117
2018-11-14,2701.580078,7136.390137
2018-11-15,2730.199951,7259.029785
2018-11-16,2736.27002,7247.870117
2018-11-19,2690.72998,7028.47998
2018-11-20,2641.889893,6908.819824
2018-11-21,2649.929932,6972.25
2018-11-23,2632.560059,6938.97998
2018-11-26,2673.449951,7081.850098
2018-11-27,2682.169922,7082.700195
2018-11-28,2743.790039,7291.589844
2018-11-29,2737.800049,7273.080078
2018-11-30,2760.169922,7330.540039
2018-12-03,2790.370117,7441.509766
